# step   redshift  time
0   127.000000   0.007812
1   119.884197   0.008272
2   113.163855   0.008759
3   106.817178   0.009275
4   100.823351   0.009821
5   95.163094   0.010399
6   89.816623   0.011011
7   84.767708   0.011659
8   79.999864   0.012346
9   75.448509   0.013081
10   71.153197   0.013859
11   67.099017   0.014684
12   63.272723   0.015559
13   59.661576   0.016485
14   56.253111   0.017466
15   53.036237   0.018506
16   50.000112   0.019608
17   46.923017   0.020867
18   44.031658   0.022207
19   41.314788   0.023632
20   38.761748   0.025150
21   36.362786   0.026765
22   34.108661   0.028483
23   31.990453   0.030312
24   29.999966   0.032258
25   28.512193   0.033884
26   27.095728   0.035593
27   25.747265   0.037387
28   24.463564   0.039272
29   23.241426   0.041252
30   22.077953   0.043331
31   20.970345   0.045516
32   19.915864   0.047811
33   19.699134   0.048311
34   19.484667   0.048817
35   19.272380   0.049328
36   19.062314   0.049845
37   18.854428   0.050367
38   18.648682   0.050894
39   18.445077   0.051427
40   18.243574   0.051965
41   18.046785   0.052502
42   17.851989   0.053045
43   17.659188   0.053593
44   17.468380   0.054147
45   17.279497   0.054706
46   17.092573   0.055271
47   16.907540   0.055842
48   16.724400   0.056419
49   16.545522   0.056995
50   16.368469   0.057576
51   16.193209   0.058162
52   16.019712   0.058755
53   15.847979   0.059354
54   15.677952   0.059959
55   15.509660   0.060571
56   15.343047   0.061188
57   15.180366   0.061803
58   15.019275   0.062425
59   14.859799   0.063052
60   14.701915   0.063686
61   14.545596   0.064327
62   14.390819   0.064974
63   14.237608   0.065627
64   14.085914   0.066287
65   13.937769   0.066944
66   13.791084   0.067608
67   13.645835   0.068279
68   13.502022   0.068956
69   13.359626   0.069640
70   13.218603   0.070330
71   13.078995   0.071028
72   12.940741   0.071732
73   12.805729   0.072434
74   12.672035   0.073142
75   12.539642   0.073857
76   12.408529   0.074579
77   12.278678   0.075309
78   12.150091   0.076045
79   12.022733   0.076789
80   11.896620   0.077540
81   11.773480   0.078287
82   11.651518   0.079042
83   11.530732   0.079804
84   11.411075   0.080573
85   11.292578   0.081350
86   11.175196   0.082134
87   11.058959   0.082926
88   10.943807   0.083725
89   10.831393   0.084521
90   10.720018   0.085324
91   10.609710   0.086135
92   10.500439   0.086953
93   10.392182   0.087779
94   10.284962   0.088613
95   10.178743   0.089455
96   10.073523   0.090305
97   9.970795   0.091151
98   9.869022   0.092005
99   9.768192   0.092866
100   9.668305   0.093736
101   9.569339   0.094613
102   9.471281   0.095499
103   9.374144   0.096393
104   9.277904   0.097296
105   9.183953   0.098194
106   9.090868   0.099099
107   8.998600   0.100014
108   8.907268   0.100936
109   8.816626   0.101868
110   8.726964   0.102807
111   8.637997   0.103756
112   8.549913   0.104713
113   8.463961   0.105664
114   8.378664   0.106625
115   8.294285   0.107593
