# snapnum    redshift    time
0   127.000   0.00781250
1   79.9999   0.0123457
2   50.0001   0.0196078
3   30.0000   0.0322581
4   19.9159   0.0478106
5   18.2436   0.0519654
6   16.7244   0.0564194
7   15.3430   0.0611881
8   14.0859   0.0662870
9   12.9407   0.0717322
10   11.8966   0.0775397
11   10.9438   0.0837254
12   10.0735   0.0903055
13   9.27790   0.0972961
14   8.54991   0.104713
15   7.88320   0.112572
16   7.27219   0.120887
17   6.71159   0.129675
18   6.19683   0.138950
19   5.72386   0.148724
20   5.28883   0.159012
21   4.88845   0.169824
22   4.51956   0.181174
23   4.17947   0.193070
24   3.86568   0.205521
25   3.57591   0.218536
26   3.30810   0.232121
27   3.06042   0.246280
28   2.83118   0.261016
29   2.61886   0.276330
30   2.42204   0.292223
31   2.23949   0.308691
32   2.07003   0.325730
33   1.91263   0.343332
34   1.76634   0.361489
35   1.63027   0.380189
36   1.50364   0.399419
37   1.38572   0.419161
38   1.27585   0.439397
39   1.17342   0.460105
40   1.07787   0.481261
41   0.988708   0.502839
42   0.905462   0.524807
43   0.827699   0.547136
44   0.755036   0.569789
45   0.687109   0.592730
46   0.623590   0.615919
47   0.564177   0.639314
48   0.508591   0.662870
49   0.456577   0.686541
50   0.407899   0.710278
51   0.362340   0.734031
52   0.319703   0.757746
53   0.279802   0.781371
54   0.242469   0.804849
55   0.207549   0.828124
56   0.174898   0.851138
57   0.144383   0.873833
58   0.115883   0.896151
59   0.0892878   0.918031
60   0.0644934   0.939414
61   0.0414031   0.960243
62   0.0199325   0.980457
63   2.22045e-16   1.00000
